u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,junction,width,bridge,tunnel,access,ref
360996,5569293867,0,582286359,Rue d'Auteuil,tertiary,30,True,False,30.319,3,"LINESTRING (2.2597534 48.8479219, 2.2600372 48.8479267, 2.2600903 48.8479283, 2.2601676 48.8479285)",,,,,,
360997,264542426,0,14117429,Boulevard Murat,primary,30,True,False,50.737,4,"LINESTRING (2.2585518 48.8479122, 2.2585389 48.8478041, 2.2584977 48.8474573)",,,,,,
360997,392015132,0,670968024,Place de la Porte d'Auteuil,primary,30,True,False,27.842000000000002,4,"LINESTRING (2.2585518 48.8479122, 2.2588112 48.8479132, 2.2589323 48.8479137)",,,,,,
360999,295137123,0,34172802,Boulevard Suchet,primary,50,False,True,43.722,4,"LINESTRING (2.2618853 48.8530352, 2.2616612 48.8526707)",,,,,,
360999,295135707,0,"[26934344, 26934427, 26934412]","['Square Tolstoï', ""Avenue du Maréchal Franchet d'Esperey"", 'Square Henry Bataille']",residential,30,True,False,390.46500000000003,1,"LINESTRING (2.2618853 48.8530352, 2.2617248 48.8530812, 2.2608504 48.8533319, 2.2607738 48.8533537, 2.2607999 48.8533954, 2.2614981 48.8544934, 2.2619082 48.8551284, 2.2619498 48.8551584, 2.2620073 48.8551426, 2.2624278 48.855027, 2.2628868 48.854901, 2.2629987 48.8548701)",,,,,,
360999,295135550,0,34172802,Boulevard Suchet,primary,50,False,False,196.529,4,"LINESTRING (2.2618853 48.8530352, 2.261941 48.8531253, 2.2620569 48.8533055, 2.2621361 48.8534286, 2.2629306 48.8546633)",,,,,,
360999,34818898,0,"[85893201, 85893164, 24030591]",Rue Raffet,residential,30,False,True,57.839,3,"LINESTRING (2.2618853 48.8530352, 2.2620199 48.8529387, 2.2621426 48.8528814, 2.2623629 48.852785, 2.262429 48.852756, 2.2625129 48.852724)",,,yes,,,
361000,177268309,0,4039497,Place de la Porte de Passy,secondary,30,False,False,89.357,3,"LINESTRING (2.2646623 48.8573541, 2.2644816 48.8574046, 2.2636424 48.85764, 2.2635387 48.8576692)",,,,,,
361000,295135510,0,"[582936818, 26934315]",Boulevard Suchet,primary,50,False,True,231.95299999999997,"['5', '4']","LINESTRING (2.2646623 48.8573541, 2.2645473 48.8572016, 2.2645319 48.8571796, 2.2644241 48.8569991, 2.2634266 48.8554335)",,,,,,
361000,177268978,0,"[633689344, 4006556, 674498287]",Boulevard Suchet,primary,"['30', '50']",False,False,232.493,4,"LINESTRING (2.2646623 48.8573541, 2.2647516 48.8574876, 2.2647696 48.8575199, 2.2648575 48.8576637, 2.2658166 48.8591567, 2.2658963 48.8592808)",,,,,,
361000,134579176,0,"[34824649, 722483413]",Avenue Ingres,secondary,30,False,True,145.66699999999997,2,"LINESTRING (2.2646623 48.8573541, 2.2648185 48.8573108, 2.2648469 48.8573031, 2.2650619 48.8572433, 2.2655182 48.8571167, 2.2657841 48.8570429, 2.265908 48.8570207, 2.2660787 48.8569991, 2.2662527 48.8569973, 2.2663668 48.8569991, 2.2664613 48.8570101, 2.2665471 48.8570207)",,,,,,
361001,4414972417,0,24981503,Allée des Fortifications,unclassified,30,False,True,5.653,2,"LINESTRING (2.2629378 48.8578749, 2.2629091 48.8578277)",,,,,,
361001,6132156249,0,443995225,Route des Lacs à Passy,secondary,50,True,False,75.399,1,"LINESTRING (2.2629378 48.8578749, 2.2628703 48.8578929, 2.2619907 48.8581423)",,,,,,
