osmid,y,x,ref,highway,street_count,geometry
42769335,40.829808,-73.82895,,,4,POINT (-73.82895 40.829808)
42769344,40.830582,-73.827372,,,3,POINT (-73.827372 40.830582)
42769349,40.831001,-73.826519,,traffic_signals,3,POINT (-73.826519 40.831001)
42769353,40.831677,-73.82514,,,4,POINT (-73.82514 40.831677)
42769363,40.8329293,-73.8226058,,,3,POINT (-73.8226058 40.8329293)
42769397,40.8285709,-73.9034164,,traffic_signals,3,POINT (-73.9034164 40.8285709)
42769404,40.831195,-73.900252,,traffic_signals,4,POINT (-73.900252 40.831195)
42769441,40.834931,-73.8941179,,traffic_signals,4,POINT (-73.8941179 40.834931)
42769466,40.8391348,-73.8846517,,,4,POINT (-73.8846517 40.8391348)
42769471,40.8392552,-73.8843305,,,3,POINT (-73.8843305 40.8392552)
42769496,40.8396074,-73.881674,,,3,POINT (-73.881674 40.8396074)
42769499,40.840111,-73.8803688,,,4,POINT (-73.8803688 40.840111)
42769581,40.8572161,-73.8688931,,traffic_signals,4,POINT (-73.8688931 40.8572161)
42769615,40.868571,-73.858571,,,4,POINT (-73.858571 40.868571)
42769619,40.869383,-73.857616,,,3,POINT (-73.857616 40.869383)
42769623,40.869533,-73.85745,,traffic_signals,4,POINT (-73.85745 40.869533)
42769627,40.870425,-73.856601,,,4,POINT (-73.856601 40.870425)
42769642,40.8749854,-73.8514347,,traffic_signals,4,POINT (-73.8514347 40.8749854)
42769657,40.876733,-73.847298,,traffic_signals,4,POINT (-73.847298 40.876733)
42769660,40.877035,-73.846368,,traffic_signals,4,POINT (-73.846368 40.877035)
42769667,40.878444,-73.844101,,traffic_signals,4,POINT (-73.844101 40.878444)
42769670,40.878989,-73.843415,,,3,POINT (-73.843415 40.878989)
42769672,40.879109,-73.843241,,traffic_signals,4,POINT (-73.843241 40.879109)
42769681,40.880926,-73.839652,,traffic_signals,4,POINT (-73.839652 40.880926)
42769743,40.886533,-73.826049,,,3,POINT (-73.826049 40.886533)
42769746,40.886845,-73.825227,,,3,POINT (-73.825227 40.886845)
42769754,40.889132,-73.821265,,,3,POINT (-73.821265 40.889132)
42769825,40.910901,-73.898334,,,4,POINT (-73.898334 40.910901)
42769830,40.911239,-73.900087,,,3,POINT (-73.900087 40.911239)
42769855,40.836094,-73.92926,,,3,POINT (-73.92926 40.836094)
42769860,40.838625,-73.927092,,traffic_signals,4,POINT (-73.927092 40.838625)
42769868,40.842099,-73.926231,,stop,3,POINT (-73.926231 40.842099)
42769873,40.843909,-73.924128,,,3,POINT (-73.924128 40.843909)
42769898,40.8574544,-73.9096496,,traffic_signals,4,POINT (-73.9096496 40.8574544)
42769905,40.8653162,-73.9033274,,traffic_signals,4,POINT (-73.9033274 40.8653162)
42769913,40.8700417,-73.8997016,,,4,POINT (-73.8997016 40.8700417)
42769918,40.871244,-73.899303,,,3,POINT (-73.899303 40.871244)
42769941,40.8467764,-73.9206471,,traffic_signals,4,POINT (-73.9206471 40.8467764)
42769956,40.850443,-73.9153641,,traffic_signals,4,POINT (-73.9153641 40.850443)
42769966,40.850472,-73.883417,,,3,POINT (-73.883417 40.850472)
42769972,40.80905,-73.893891,,,3,POINT (-73.893891 40.80905)
42769983,40.8099209,-73.8881507,,,4,POINT (-73.8881507 40.8099209)
42769992,40.8106142,-73.8835522,,,4,POINT (-73.8835522 40.8106142)
42770004,40.8511884,-73.8859498,,,3,POINT (-73.8859498 40.8511884)
42770006,40.851998,-73.885543,,,4,POINT (-73.885543 40.851998)
42770011,40.854152,-73.884461,,traffic_signals,4,POINT (-73.884461 40.854152)
42770028,40.81723,-73.850766,,,3,POINT (-73.850766 40.81723)
42770033,40.896871,-73.876438,,,3,POINT (-73.876438 40.896871)
42770050,40.895794,-73.859445,,,3,POINT (-73.859445 40.895794)
42770062,40.8421846,-73.8562028,,,3,POINT (-73.8562028 40.8421846)
42770082,40.8573664,-73.8372447,,,3,POINT (-73.8372447 40.8573664)
42770097,40.8560928,-73.7897373,,,4,POINT (-73.7897373 40.8560928)
42770099,40.8563034,-73.7888746,,,1,POINT (-73.7888746 40.8563034)
42770105,40.798582,-73.9108904,,,3,POINT (-73.9108904 40.798582)
42770110,40.7991742,-73.9102946,,,3,POINT (-73.9102946 40.7991742)
42770121,40.8021284,-73.9073086,,,3,POINT (-73.9073086 40.8021284)
42770128,40.8033695,-73.9060575,,,3,POINT (-73.9060575 40.8033695)
42770152,40.8804838,-73.8859673,,traffic_signals,4,POINT (-73.8859673 40.8804838)
42770173,40.8518568,-73.9028518,,,2,POINT (-73.9028518 40.8518568)
42770177,40.8508148,-73.9014501,,,3,POINT (-73.9014501 40.8508148)
42770181,40.8502971,-73.9006751,,traffic_signals,3,POINT (-73.9006751 40.8502971)
42770212,40.831076,-73.824631,,,3,POINT (-73.824631 40.831076)
42770221,40.832359,-73.825723,,,3,POINT (-73.825723 40.832359)
42770224,40.833037,-73.8263,,stop,4,POINT (-73.8263 40.833037)
42770238,40.8348785,-73.827797,,,3,POINT (-73.827797 40.8348785)
42770241,40.835826,-73.828798,,,4,POINT (-73.828798 40.835826)
42770248,40.84038,-73.832062,,,4,POINT (-73.832062 40.84038)
42770251,40.84095,-73.832529,,,4,POINT (-73.832529 40.84095)
42770253,40.8414193,-73.8328957,,,4,POINT (-73.8328957 40.8414193)
42770259,40.842806,-73.83293,,,3,POINT (-73.83293 40.842806)
42770266,40.849394,-73.832208,,,4,POINT (-73.832208 40.849394)
42770280,40.840273,-73.849524,,,3,POINT (-73.849524 40.840273)
42770314,40.9012655,-73.8988246,,,3,POINT (-73.8988246 40.9012655)
