osmid,y,x,street_count,highway,ref,geometry,lat_index,lon_index,grid_index,lat_center,lon_center,distance_to_center
141606902,48.824282,2.318635,4,,,POINT (2.318635 48.824282),9,48,948,48.8240448995,2.3183787995,0.03235523781316684
141607400,48.8241205,2.3202301,3,,,POINT (2.3202301 48.8241205),9,49,949,48.8240448995,2.3202783664999997,0.009118822436861391
141607715,48.8238318,2.3224741,3,,,POINT (2.3224741 48.8238318),9,50,950,48.8240448995,2.3221779335,0.03211820048054592
141607833,48.8242743,2.3234881,3,,,POINT (2.3234881 48.8242743),9,51,951,48.8240448995,2.3240775005,0.050124547531453255
11521292458,48.8239781,2.3257108,3,,,POINT (2.3257108 48.8239781),9,52,952,48.8240448995,2.3259770674999998,0.020860100830715756
826278651,48.8240972,2.3277612,3,,,POINT (2.3277612 48.8240972),9,53,953,48.8240448995,2.3278766345,0.010258410977824378
82408971,48.8237599,2.3320365,3,,,POINT (2.3320365 48.8237599),9,55,955,48.8240448995,2.3316757685,0.04125158518410314
250528509,48.8242024,2.335902,3,traffic_signals,,POINT (2.335902 48.8242024),9,57,957,48.8240448995,2.3354749025,0.03583752745733713
250549783,48.824469,2.3383302,3,traffic_signals,,POINT (2.3383302 48.824469),9,59,959,48.8240448995,2.3392740365,0.0836546776654885
49894363,48.8240912,2.344545,4,traffic_signals,,POINT (2.344545 48.8240912),9,62,962,48.8240448995,2.3449727375,0.031734118837381274
100287503,48.824,2.3485412,4,,,POINT (2.3485412 48.824),9,64,964,48.8240448995,2.3487718715,0.01760952945922632
251514378,48.8239185,2.3510499,3,,,POINT (2.3510499 48.8239185),9,65,965,48.8240448995,2.3506714385,0.031067436390583562
100288988,48.8239612,2.3530592,3,,,POINT (2.3530592 48.8239612),9,66,966,48.8240448995,2.3525710054999998,0.0369316150129325
251517578,48.8241395,2.354631,3,,,POINT (2.354631 48.8241395),9,67,967,48.8240448995,2.3544705725,0.015766593412818893
251517624,48.8241519,2.3554455,3,,,POINT (2.3554455 48.8241519),9,68,968,48.8240448995,2.3563701394999996,0.06872844566343089
251517810,48.8244351,2.3578057,3,,,POINT (2.3578057 48.8244351),9,69,969,48.8240448995,2.3582697065,0.055103748394188114
123713357,48.8236767,2.3618793,4,traffic_signals,,POINT (2.3618793 48.8236767),9,71,971,48.8240448995,2.3620688404999997,0.04322939969703315
6272792929,48.8243338,2.3636943,3,,,POINT (2.3636943 48.8243338),9,72,972,48.8240448995,2.3639684075,0.0378766846101305
505829788,48.8243386,2.3656788,3,,,POINT (2.3656788 48.8243386),9,73,973,48.8240448995,2.3658679745,0.03547309411159789
15035574,48.8241556,2.370388,3,,,POINT (2.370388 48.8241556),9,75,975,48.8240448995,2.3696671085,0.054191348555626684
259643630,48.8237952,2.3735279,3,,,POINT (2.3735279 48.8237952),9,77,977,48.8240448995,2.3734662424999997,0.028129831978352414
15035547,48.82416,2.3755666,3,,,POINT (2.3755666 48.82416),9,78,978,48.8240448995,2.3753658095,0.019490427619984128
386594447,48.8240505,2.3770284,4,,,POINT (2.3770284 48.8240505),9,79,979,48.8240448995,2.3772653765,0.017359702877496073
2209978433,48.8243384,2.384691,3,,,POINT (2.384691 48.8243384),9,83,983,48.8240448995,2.3848636444999998,0.034997639389918865
15435283,48.8244564,2.3869718,3,,,POINT (2.3869718 48.8244564),9,84,984,48.8240448995,2.3867632115,0.04823755976093772
353705102,48.8250635,2.3018429,3,,,POINT (2.3018429 48.8250635),10,39,1039,48.8249051205,2.3012826965,0.044631922237959976
132773129,48.8249336,2.3024339,3,,,POINT (2.3024339 48.8249336),10,40,1040,48.8249051205,2.3031822635,0.05487654526732497
162317682,48.8247459,2.3047878,3,motorway_junction,,POINT (2.3047878 48.8247459),10,41,1041,48.8249051205,2.3050818305,0.027870684904690537
141605429,48.8251041,2.3111791,4,traffic_signals,,POINT (2.3111791 48.8251041),10,44,1044,48.8249051205,2.3107805315,0.036618033335204685
141605427,48.8246788,2.3135351,3,traffic_signals,,POINT (2.3135351 48.8246788),10,45,1045,48.8249051205,2.3126800985,0.06746148619961652
141605938,48.8247471,2.3166614,3,,,POINT (2.3166614 48.8247471),10,47,1047,48.8249051205,2.3164792325,0.022058747865976273
30560446,48.8248992,2.3184024,4,,,POINT (2.3184024 48.8248992),10,48,1048,48.8249051205,2.3183787995,0.001848887308440899
141609493,48.8250815,2.3205109,3,,,POINT (2.3205109 48.8250815),10,49,1049,48.8249051205,2.3202783664999997,0.025969810549265716
24923830,48.8248695,2.3237977,4,,,POINT (2.3237977 48.8248695),10,51,1051,48.8249051205,2.3240775005,0.020862672216526636
5875496019,48.8249168,2.3259469,3,crossing,,POINT (2.3259469 48.8249168),10,52,1052,48.8249051205,2.3259770674999998,0.002562013504613865
24913016,48.8244878,2.3283215,4,traffic_signals,,POINT (2.3283215 48.8244878),10,53,1053,48.8249051205,2.3278766345,0.05669168243482256
25574317,48.8252176,2.329411,3,,,POINT (2.329411 48.8252176),10,54,1054,48.8249051205,2.3297762015,0.04384127393370968
24913022,48.8247479,2.3312637,3,,,POINT (2.3312637 48.8247479),10,55,1055,48.8249051205,2.3316757685,0.034865769553946074
1347288495,48.8253116,2.3375299,3,,,POINT (2.3375299 48.8253116),10,58,1058,48.8249051205,2.3373744695,0.046608695971596774
27453294,48.8246312,2.3398894,3,,,POINT (2.3398894 48.8246312),10,59,1059,48.8249051205,2.3392740365,0.054379367003473955
250963055,48.8246278,2.3415453,3,,,POINT (2.3415453 48.8246278),10,60,1060,48.8249051205,2.3411736034999997,0.04112565877511151
100292094,48.8251937,2.3432735,5,,,POINT (2.3432735 48.8251937),10,61,1061,48.8249051205,2.3430731705,0.03528102022887836
3764314590,48.8249621,2.3466552,3,,,POINT (2.3466552 48.8249621),10,63,1063,48.8249051205,2.3468723044999997,0.01710979020347789
251514419,48.8250483,2.3514797,3,,,POINT (2.3514797 48.8250483),10,65,1065,48.8249051205,2.3506714385,0.061274434418712824
1806474777,48.8248043,2.3553082,3,,,POINT (2.3553082 48.8248043),10,67,1067,48.8249051205,2.3544705725,0.06233625329067482
507164476,48.8250544,2.3572077,3,,,POINT (2.3572077 48.8250544),10,68,1068,48.8249051205,2.3563701394999996,0.06352195422769685
52025142,48.8251193,2.3575888,3,traffic_signals,,POINT (2.3575888 48.8251193),10,69,1069,48.8249051205,2.3582697065,0.05524383122022008
1759468562,48.8251537,2.3607198,3,,,POINT (2.3607198 48.8251537),10,70,1070,48.8249051205,2.3601692735,0.0488699055826117
7304705,48.8249543,2.3624501,4,traffic_signals,,POINT (2.3624501 48.8249543),10,71,1071,48.8249051205,2.3620688404999997,0.0284413547157826
253318732,48.8252822,2.3658721,3,,,POINT (2.3658721 48.8252822),10,73,1073,48.8249051205,2.3658679745,0.04193041500931007
382015,48.8244825,2.3678681,3,,,POINT (2.3678681 48.8244825),10,74,1074,48.8249051205,2.3677675414999997,0.04756636212865512
15035575,48.8251513,2.3697652,3,,,POINT (2.3697652 48.8251513),10,75,1075,48.8249051205,2.3696671085,0.028300118041054236
15035541,48.825144,2.3719097,3,,,POINT (2.3719097 48.825144),10,76,1076,48.8249051205,2.3715666755,0.0365532674744204
15435242,48.8250346,2.3781399,3,,,POINT (2.3781399 48.8250346),10,79,1079,48.8249051205,2.3772653765,0.06561970461271095
4461544104,48.8247558,2.3844502,3,motorway_junction,,POINT (2.3844502 48.8247558),10,83,1083,48.8249051205,2.3848636444999998,0.03452197816375382
15435282,48.8245138,2.3871231,3,,,POINT (2.3871231 48.8245138),10,84,1084,48.8249051205,2.3867632115,0.050867435223652537
555509547,48.8251136,2.3887981,4,traffic_signals,,POINT (2.3887981 48.8251136),10,85,1085,48.8249051205,2.3886627784999996,0.02520982976250141
176762224,48.8261209,2.2970244,3,,,POINT (2.2970244 48.8261209),11,37,1137,48.8257653415,2.2974835625,0.051893673815312284
162296675,48.8260122,2.2991151,3,motorway_junction,,POINT (2.2991151 48.8260122),11,38,1138,48.8257653415,2.2993831295,0.0337410584180118
132779919,48.8254397,2.3004676,5,,,POINT (2.3004676 48.8254397),11,39,1139,48.8257653415,2.3012826965,0.06979684229580019
