u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,bridge,maxspeed,tunnel,access,width,junction
2705654566,5433542501,0,101316262,True,,海天路,secondary,False,233.35299999999998,"LINESTRING (113.8872445 22.5476558, 113.8871316 22.5476276, 113.8870561 22.5476161, 113.8870061 22.5476161, 113.8869671 22.5476161, 113.8869122 22.547627, 113.8868496 22.5476508, 113.8867742 22.5476937, 113.886266 22.5480863, 113.8858489 22.5483783, 113.8855246 22.5485884, 113.8853621 22.5486885)",,,,,,,
2705654567,2705654531,0,264916218,True,,海天路,secondary,False,60.541,"LINESTRING (113.8734501 22.5498065, 113.8738982 22.5499547, 113.8740051 22.5499901)",,,,,,,
2705654567,5433541976,0,563883378,True,,,secondary_link,False,82.49,"LINESTRING (113.8734501 22.5498065, 113.8737658 22.5498604, 113.8738327 22.5498677, 113.8738724 22.5498671, 113.8739103 22.549861, 113.8739421 22.5498502, 113.8739725 22.5498338, 113.8740184 22.5498044, 113.8740651 22.5497647, 113.8741561 22.5496566)",,,,,,,
2705654569,2696866013,0,563883384,True,,甲岸路,secondary,False,9.371,"LINESTRING (113.8850457 22.5487723, 113.8850933 22.5488442)",,,,,,,
2705654569,2705654537,0,456394360,True,,海天路,secondary,False,43.146,"LINESTRING (113.8850457 22.5487723, 113.8851248 22.5487291, 113.8854076 22.5485752)",,,,,,,
2705654575,2696750318,0,239061378,True,,宝华路,secondary,False,10.015,"LINESTRING (113.8805507 22.550384, 113.8805545 22.550474)",,,,,,,
2705654575,2705654527,0,456394360,True,,海天路,secondary,False,49.209,"LINESTRING (113.8805507 22.550384, 113.8806465 22.5503673, 113.8810216 22.5503021)",,,,,,,
2705654588,2705654545,0,264916218,True,,海天路,secondary,False,12.85,"LINESTRING (113.8766951 22.5505297, 113.8768195 22.5505422)",,,,,,,
2705654588,5241143609,0,563883372,True,,宝兴路,secondary,False,38.051,"LINESTRING (113.8766951 22.5505297, 113.8766917 22.5504371, 113.8766826 22.5501877)",,,,,,,
2705654590,4729141249,0,1184229733,True,,新安西路,primary,False,74.041,"LINESTRING (113.8868033 22.5472672, 113.886276 22.5468131)",,,,,,,
2705654592,2471015809,0,264010657,False,,兴民路,tertiary,False,9.757,"LINESTRING (113.8821632 22.5500086, 113.8821826 22.5500945)",,,,,,,
2705654592,2705654512,0,456394360,True,,海天路,secondary,False,274.641,"LINESTRING (113.8821632 22.5500086, 113.8822824 22.5499678, 113.8825491 22.5498776, 113.88295 22.5497451, 113.883403 22.5495642, 113.8838398 22.5493762, 113.8842629 22.54918, 113.8846081 22.5490153)",,,,,,,
2705654593,1169605052,0,533976886,True,,金科路,secondary,False,8.257,"LINESTRING (113.87412 22.5500239, 113.8740751 22.5500855)",,,,,,,
2705654593,5433541984,0,264916218,True,,海天路,secondary,False,51.035,"LINESTRING (113.87412 22.5500239, 113.8741911 22.5500426, 113.8745979 22.5501498)",,,,,,,
2706017589,4729141126,0,1243474873,True,,新湖路,secondary,False,214.568,"LINESTRING (113.8843435 22.5557847, 113.8835249 22.5565741, 113.8828913 22.5571721)",,,,,,,
2706017609,5433542824,0,563883384,True,,甲岸路,secondary,False,64.439,"LINESTRING (113.8845004 22.5479416, 113.8848258 22.5484371)",,,,,,,
2706017609,2471008285,0,587394402,False,,,secondary_link,True,12.765,"LINESTRING (113.8845004 22.5479416, 113.8843967 22.5480049)",,,,,,,
2706038463,6315483483,0,264955006,True,,翻身路,secondary,False,156.874,"LINESTRING (113.8803499 22.5726518, 113.8814053 22.5716317)",,,,,,,
2706038463,2706038590,0,264955013,False,,河东工业路,tertiary,False,10.155,"LINESTRING (113.8803499 22.5726518, 113.8804213 22.572715)",,,,,,,
2706038463,11494774922,0,674357182,False,,开屏路,tertiary,True,115.614,"LINESTRING (113.8803499 22.5726518, 113.8795272 22.5719419)",,,,,,,
2706038465,2471735065,0,239379314,True,,乐平路,residential,False,180.095,"LINESTRING (113.8943789 22.5594025, 113.8943103 22.5593443, 113.8931045 22.5582898)",,,,,,,
2706038465,2706038524,0,264955006,True,,翻身路,secondary,False,132.22899999999998,"LINESTRING (113.8943789 22.5594025, 113.8952705 22.5587107, 113.8953653 22.5586381)",,,,,,,
