Location,OuterIters,Converged,StopReason,TimeTotal_s,TimePermutation_s,TimeFitInit_s,TimeFitLoop_s,TimeFitTotal_s,PermFrac_pct,FitFrac_pct,SwapEvals,SwapAccepts,FinalLoss
103,10,1,no_improving_swap,12.6323891,0.6178811,0.5403764,5.7358862,6.2762626,4.89124499814529,49.6838923367236,2100,137,2250.14801427924
104,11,1,no_improving_swap,14.028564,0.6458621,0.5960039,6.4180562,7.0140601,4.60390742773102,49.9984182272683,2310,120,2101.59044666299
105,12,1,no_improving_swap,15.1548988,0.7092933,0.6061034,6.9491577,7.5552611,4.68029057376484,49.853589916417,2520,130,2073.17173107786
106,11,1,no_improving_swap,13.6350536,0.6279602,0.5713395,6.1162138,6.6875533,4.60548391243581,49.046769423774,2310,125,2046.88111695772
107,13,1,no_improving_swap,15.9698667,0.7217484,0.560282,7.3320534,7.8923354,4.51943910089118,49.4201708020518,2730,151,2233.747395971
108,7,1,no_improving_swap,9.0401877,0.3943382,0.5799392,4.1156496,4.6955888,4.36205765948864,51.9412755113481,1470,126,2226.78781508717
109,10,1,no_improving_swap,12.2755208,0.5564289,0.5871916,5.5697729,6.1569645,4.53283334422764,50.1564422423528,2100,127,2143.37989374158
110,8,1,no_improving_swap,10.1676127,0.4533756,0.5572752,4.6540815,5.2113567,4.45901720863148,51.2544768743994,1680,108,2150.03796915507
111,9,1,no_improving_swap,11.2541309,0.5022707,0.6054536,5.0726438,5.6780974,4.46298967430706,50.4534508302191,1890,113,2252.87049661437
112,10,1,no_improving_swap,12.5368668,0.5757137,0.541907,5.7875792,6.3294862,4.59216572357616,50.4869861104371,2100,137,2115.06430228369
113,7,1,no_improving_swap,9.2599445,0.4103541,0.5556239,4.184009,4.7396329,4.43149632268314,51.1842473785885,1470,138,2281.13798774315
114,8,1,no_improving_swap,10.7792558,0.4791552,0.6459784,4.8320131,5.4779915,4.44516030503701,50.8197560354769,1680,133,2320.66649292416
115,9,1,no_improving_swap,11.2182309,0.5064325,0.5392197,5.0727624,5.6119821,4.5143704432042,50.0255534943571,1890,126,2220.19622514989
116,8,1,no_improving_swap,9.9544173,0.4467639,0.5362204,4.466602,5.0028224,4.48809695771946,50.2573103902325,1680,105,2205.10955363771
117,5,1,no_improving_swap,6.5775351,0.2874079,0.5360556,2.8088186,3.3448742,4.36953806601503,50.8530041899738,1050,107,2630.52116006847
118,6,1,no_improving_swap,7.611739,0.3347473,0.5464258,3.3452666,3.8916924,4.39777690748461,51.1275071307621,1260,120,2355.1259048863
119,12,1,no_improving_swap,15.2990367,0.7143688,0.5413424,7.1408207,7.6821631,4.66937111145044,50.2133778135195,2520,103,2180.69578398746
120,5,1,no_improving_swap,6.6250771,0.2786185,0.5514509,2.937447,3.4888979,4.2055133214978,52.661996944911,1050,116,2654.10971320837
121,9,1,no_improving_swap,11.0979035,0.497328,0.5553102,5.0496355,5.6049457,4.48127882892476,50.5045452954245,1890,124,2150.06922628627
122,9,1,no_improving_swap,11.4286441,0.5058212,0.5423836,5.1128696,5.6552532,4.42590735676159,49.4831508490145,1890,116,2163.1387724314
123,7,1,no_improving_swap,8.7778044,0.3949327,0.5493132,3.9219149,4.4712281,4.49921964540472,50.9378871554714,1470,111,2174.84100954101
124,10,1,no_improving_swap,12.5096621,0.5601271,0.5442183,5.825749,6.3699673,4.47755579265406,50.9203785768122,2100,122,2348.28413348507
125,10,1,no_improving_swap,12.3653966,0.5685255,0.5679927,5.6050686,6.1730613,4.59771342877915,49.9220647722694,2100,130,2155.42333115049
126,8,1,no_improving_swap,10.2337077,0.4632157,0.5531926,4.7627022,5.3158948,4.52637219646209,51.9449544176447,1680,106,2291.1596915808
127,7,1,no_improving_swap,9.3726894,0.405477,0.5834298,4.1388141,4.7222439,4.32615424127892,50.3830192004442,1470,109,2368.17539705441
128,8,1,no_improving_swap,10.1282834,0.4612623,0.5451007,4.4908261,5.0359268,4.55420017176849,49.7214246591875,1680,135,2306.91271510017
129,11,1,no_improving_swap,13.6066506,0.6154684,0.5593976,6.2014412,6.7608388,4.52329098536564,49.68775195859,2310,125,2156.0256701543
130,9,1,no_improving_swap,11.3751095,0.5118337,0.5896528,5.1643886,5.7540414,4.49959360830768,50.5844923954358,1890,105,2122.40257151016
131,8,1,no_improving_swap,10.1303382,0.4636193,0.5624114,4.5324667,5.0948781,4.57654316022736,50.2932676028526,1680,119,2267.43446914597
132,6,1,no_improving_swap,7.5725516,0.3469223,0.5484799,3.3255043,3.8739842,4.58131312040185,51.1582410346336,1260,116,2546.45879986395
133,10,1,no_improving_swap,12.7060725,0.5676918,0.5636477,5.7255675,6.2892152,4.46787785918898,49.4977122159503,2100,104,2171.85078018796
134,8,1,no_improving_swap,10.086447,0.4623504,0.5848716,4.5314429,5.1163145,4.58387775199731,50.7246456557002,1680,111,2470.58564120571
135,11,1,no_improving_swap,13.5661484,0.6346202,0.5607591,6.2478507,6.8086098,4.67796887729755,50.1882302864975,2310,118,2159.46083658249
136,11,1,no_improving_swap,13.729251,0.6218948,0.5843013,6.1959234,6.7802247,4.52970668246942,49.3852483285505,2310,97,2202.18560711217
137,9,1,no_improving_swap,11.2172257,0.5123155,0.5535595,5.0916182,5.6451777,4.56722110887008,50.3259705294153,1890,129,2114.64998682368
138,9,1,no_improving_swap,11.0925476,0.5130797,0.5604658,5.0090621,5.5695279,4.62544510514429,50.2096371441309,1890,114,2141.96092913643
139,8,1,no_improving_swap,10.0874531,0.4517836,0.6414278,4.4878328,5.1292606,4.47866865423146,50.847925131865,1680,117,2252.2868880302
140,7,1,no_improving_swap,8.952118,0.3964564,0.606905,4.0058594,4.6127644,4.42863241972458,51.5270732579709,1470,123,2233.08202762736
141,7,1,no_improving_swap,9.3840782,0.4361109,0.5635523,4.269502,4.8330543,4.64734937950538,51.5027070000333,1470,122,2288.93469483627
142,8,1,no_improving_swap,10.150409,0.4554551,0.5913547,4.5060399,5.0973946,4.4870615558447,50.2186128657476,1680,109,2311.07939312567
143,9,1,no_improving_swap,11.4088402,0.5035233,0.5825101,5.0673356,5.6498457,4.41344861680156,49.5216481338743,1890,119,2110.64245155346
144,6,1,no_improving_swap,7.5652079,0.3360502,0.5343688,3.3426345,3.8770033,4.44204844654699,51.2478090654984,1260,92,2418.60220818788
145,10,1,no_improving_swap,12.5526461,0.5752529,0.5466238,5.7361812,6.282805,4.58272220388656,50.051638116365,2100,126,2092.72832972333
