Location,OuterIters,Converged,StopReason,TimeTotal_s,TimeSwap_s,TimeFitInit_s,TimeFitLoop_s,TimeFitAll_s,SwapFrac_pct,FitFrac_pct,SwapEvals,SwapAccepts
175,16,1,no_improving_swap,0.8053206,0.0698749,0.0239891,0.3562857,0.3802748,8.67665622858772,47.2202995924853,3360,108
176,12,1,no_improving_swap,0.577501,0.0452067,0.0210166,0.2575743,0.2785909,7.82798644504512,48.2407649510564,2520,95
177,7,1,no_improving_swap,0.3528166,0.0267305,0.020937,0.1519678,0.1729048,7.57631585361913,49.0069911676491,1470,121
178,18,1,no_improving_swap,1.0900591,0.0974855,0.0258025,0.4698001,0.4956026,8.94313895457595,45.4656632837614,3780,247
179,12,1,no_improving_swap,0.5832974,0.0500997,0.0202904,0.2551742,0.2754646,8.58904908542366,47.2254119425185,2520,170
180,7,1,no_improving_swap,0.345525,0.0283734,0.021377,0.1474088,0.1687858,8.2116778814847,48.8490847261414,1470,106
181,7,1,no_improving_swap,0.3362214,0.0282353,0.0204047,0.1439125,0.1643172,8.39782952542581,48.8717255950989,1470,165
182,13,1,no_improving_swap,0.5706371,0.0477349,0.02082,0.2489628,0.2697828,8.36519392097009,47.2774728457018,2730,113
183,7,1,no_improving_swap,0.3656936,0.0289966,0.0208665,0.159083,0.1799495,7.92920630823181,49.2077247181794,1470,90
184,7,1,no_improving_swap,0.3773589,0.0279419,0.0215069,0.1507042,0.1722111,7.40459546601392,45.6358919850572,1470,115
185,7,1,no_improving_swap,0.3394315,0.0273538,0.0225951,0.14614,0.1687351,8.05870993116432,49.711090455659,1470,149
186,8,1,no_improving_swap,0.4159352,0.0337763,0.0224397,0.1779995,0.2004392,8.12056781921799,48.1900065202464,1680,102
187,10,1,no_improving_swap,0.5218749,0.043068,0.0335746,0.2187762,0.2523508,8.25255247953101,48.3546535769396,2100,159
188,12,1,no_improving_swap,0.6689501,0.050748,0.0211715,0.2844759,0.3056474,7.58621607202092,45.6906127975764,2520,125
189,10,1,no_improving_swap,0.6037037,0.0477218,0.0301872,0.2632197,0.2934069,7.90483808530576,48.6011432429518,2100,129
190,16,1,no_improving_swap,0.7492121,0.0621257,0.021838,0.3350131,0.3568511,8.29213783386574,47.6301837623818,3360,126
191,8,1,no_improving_swap,0.3933915,0.033459,0.0228339,0.1712168,0.1940507,8.50526765321569,49.3276290921385,1680,145
192,11,1,no_improving_swap,0.5532413,0.0438279,0.0220389,0.2401397,0.2621786,7.92202245204759,47.3895567811008,2310,108
193,7,1,no_improving_swap,0.342657,0.0270159,0.0246094,0.1438622,0.1684716,7.88423992505625,49.1662507989039,1470,80
194,7,1,no_improving_swap,0.3498714,0.0296412,0.0237318,0.1471404,0.1708722,8.47202715054732,48.8385732586316,1470,107
195,15,1,no_improving_swap,0.7258185,0.0623057,0.0233462,0.3223108,0.345657,8.5841983911956,47.623062790491,3150,217
196,8,1,no_improving_swap,0.3777903,0.0314844,0.0213012,0.1583201,0.1796213,8.33382964041163,47.5452387210577,1680,232
197,14,1,no_improving_swap,0.662533,0.0560236,0.0233781,0.286154,0.3095321,8.45597124973398,46.7194992551314,2940,158
198,13,1,no_improving_swap,0.6149203,0.0505564,0.0202292,0.2716355,0.2918647,8.22161831378798,47.4638257998638,2730,199
199,11,1,no_improving_swap,0.5722525,0.0456723,0.0236806,0.2504403,0.2741209,7.98114468700442,47.9020886758905,2310,113
200,20,0,max_iter_reached,0.89662,0.0689355,0.0215776,0.4101861,0.4317637,7.688374116125,48.1545916887868,4200,147
