osmid,y,x,street_count,ref,highway,geometry,lat_index,lon_index,grid_index,lat_center,lon_center,distance_to_center
9204876398,22.5208031,113.9322191,4,,,POINT (113.9322191 22.5208031),15,20,1520,22.5210943205,113.9323653795,0.035698233403425914
6874822429,22.5211955,113.9408275,3,,,POINT (113.9408275 22.5211955),15,21,1521,22.5210943205,113.9408159785,0.011312717114795782
1931988603,22.5209849,113.9487852,3,,,POINT (113.9487852 22.5209849),15,22,1522,22.5210943205,113.9492665775,0.05091971491543486
2045551739,22.5226153,113.9574887,3,,,POINT (113.9574887 22.5226153),15,23,1523,22.5210943205,113.9577171765,0.17074564219659907
9588100733,22.5225713,113.9634843,3,,,POINT (113.9634843 22.5225713),15,24,1524,22.5210943205,113.9661677755,0.3208508397489818
3969440420,22.5224367,113.9758143,3,,motorway_junction,POINT (113.9758143 22.5224367),15,25,1525,22.5210943205,113.97461837450001,0.19331239489601004
496532993,22.5229673,113.9823625,3,,,POINT (113.9823625 22.5229673),15,26,1526,22.5210943205,113.98306897350001,0.22054551699423008
8071642688,22.521784,114.0271348,3,,,POINT (114.0271348 22.521784),15,31,1531,22.5210943205,114.02532196850001,0.20137858670351047
2399038475,22.5212044,114.033881,3,,,POINT (114.033881 22.5212044),15,32,1532,22.5210943205,114.03377256750001,0.016549067258916954
6020564486,22.5209886,114.0423149,3,,,POINT (114.0423149 22.5209886),15,33,1533,22.5210943205,114.04222316650001,0.015065710202390694
8167985760,22.5212008,114.0510814,3,,,POINT (114.0510814 22.5212008),15,34,1534,22.5210943205,114.05067376550001,0.04351203332711431
1783922701,22.5209811,114.0588986,3,,,POINT (114.0588986 22.5209811),15,35,1535,22.5210943205,114.05912436450001,0.026386470883880044
5435914382,22.5205307,114.0672823,3,,,POINT (114.0672823 22.5205307),15,36,1536,22.5210943205,114.06757496350001,0.06950835246730798
5685181036,22.5259784,113.8818339,3,,,POINT (113.8818339 22.5259784),16,14,1614,22.524900831500002,113.8816617855,0.12111724446333832
8930972232,22.5231331,113.8892042,3,,,POINT (113.8892042 22.5231331),16,15,1615,22.524900831500002,113.8901123845,0.2175741255313928
8037688093,22.5257021,113.8997388,3,,,POINT (113.8997388 22.5257021),16,16,1616,22.524900831500002,113.8985629835,0.1500791630380953
6684680130,22.5255461,113.9069326,3,,,POINT (113.9069326 22.5255461),16,17,1617,22.524900831500002,113.9070135825,0.07223110990180959
2423993064,22.5250209,113.9148059,3,,,POINT (113.9148059 22.5250209),16,18,1618,22.524900831500002,113.9154641815,0.06891906563263998
2428194119,22.5247868,113.923505,3,,,POINT (113.923505 22.5247868),16,19,1619,22.524900831500002,113.9239147805,0.0439579311195816
9204876362,22.5242653,113.9327337,3,,,POINT (113.9327337 22.5242653),16,20,1620,22.524900831500002,113.9323653795,0.0801569788232407
2402263717,22.5252725,113.9408397,3,,,POINT (113.9408397 22.5252725),16,21,1621,22.524900831500002,113.9408159785,0.041399411142553376
920047679,22.5244892,113.949211,3,,,POINT (113.949211 22.5244892),16,22,1622,22.524900831500002,113.9492665775,0.04612593619758915
2613258271,22.5255022,113.9590044,3,,,POINT (113.9590044 22.5255022),16,23,1623,22.524900831500002,113.9577171765,0.14816151137342068
10873334094,22.5260577,113.9643813,3,,,POINT (113.9643813 22.5260577),16,24,1624,22.524900831500002,113.9661677755,0.22409162568926683
5281881093,22.5250697,113.9737577,1,,,POINT (113.9737577 22.5250697),16,25,1625,22.524900831500002,113.97461837450001,0.09037396468253345
5305062685,22.5241969,113.9821198,1,,,POINT (113.9821198 22.5241969),16,26,1626,22.524900831500002,113.98306897350001,0.12502575929624796
496532859,22.5250961,113.9908814,3,,,POINT (113.9908814 22.5250961),16,27,1627,22.524900831500002,113.99151957250001,0.06905068615003325
1783922888,22.5254975,114.018538,1,,,POINT (114.018538 22.5254975),16,30,1630,22.524900831500002,114.01687136950001,0.18359046231268789
6178116956,22.524553,114.0246212,1,,,POINT (114.0246212 22.524553),16,31,1631,22.524900831500002,114.02532196850001,0.08171101005383968
2042400917,22.5256063,114.0339349,3,,,POINT (114.0339349 22.5256063),16,32,1632,22.524900831500002,114.03377256750001,0.0801969302337971
3653137211,22.524776,114.0415834,3,,,POINT (114.0415834 22.524776),16,33,1633,22.524900831500002,114.04222316650001,0.06716190022069815
8167985780,22.5253375,114.0513794,3,,,POINT (114.0513794 22.5253375),16,34,1634,22.524900831500002,114.05067376550001,0.08723851801115727
8167985873,22.5249579,114.0589347,1,,,POINT (114.0589347 22.5249579),16,35,1635,22.524900831500002,114.05912436450001,0.020488339011543164
2784845948,22.5254689,114.0670481,3,,,POINT (114.0670481 22.5254689),16,36,1636,22.524900831500002,114.06757496350001,0.08317716834372678
3084586845,22.52601,114.0727691,1,,,POINT (114.0727691 22.52601),16,37,1637,22.524900831500002,114.0760255625,0.35649151980909755
3166459153,22.5289197,113.8804412,3,86,motorway_junction,POINT (113.8804412 22.5289197),17,14,1714,22.5287073425,113.8816617855,0.12756991397678938
8930956971,22.5287723,113.8895009,3,,,POINT (113.8895009 22.5287723),17,15,1715,22.5287073425,113.8901123845,0.06321915630019151
8037688129,22.5270853,113.896934,3,,,POINT (113.896934 22.5270853),17,16,1716,22.5287073425,113.8985629835,0.2460170160241812
1169613431,22.5285725,113.9074224,3,,,POINT (113.9074224 22.5285725),17,17,1717,22.5287073425,113.9070135825,0.04458615229023375
2420580018,22.5286685,113.914535,3,,,POINT (113.914535 22.5286685),17,18,1718,22.5287073425,113.9154641815,0.09553335603980737
6465619119,22.5287865,113.9243013,3,,,POINT (113.9243013 22.5287865),17,19,1719,22.5287073425,113.9239147805,0.04066322193752525
1116449026,22.5280241,113.9315869,3,,,POINT (113.9315869 22.5280241),17,20,1720,22.5287073425,113.9323653795,0.11029546347367421
2500304566,22.5290367,113.9408571,3,,,POINT (113.9408571 22.5290367),17,21,1721,22.5287073425,113.9408159785,0.03686562101322734
920047643,22.5290032,113.9496123,3,,,POINT (113.9496123 22.5290032),17,22,1722,22.5287073425,113.9492665775,0.04840610702278449
2537806914,22.5281096,113.9587494,4,,,POINT (113.9587494 22.5281096),17,23,1723,22.5287073425,113.9577171765,0.1251311538412983
5504300010,22.5282304,113.9659379,4,,,POINT (113.9659379 22.5282304),17,24,1724,22.5287073425,113.9661677755,0.05805181146942239
2537806929,22.5282736,113.9736907,3,,,POINT (113.9736907 22.5282736),17,25,1725,22.5287073425,113.97461837450001,0.10679233782095766
3627937279,22.5283347,113.9807483,1,,,POINT (113.9807483 22.5283347),17,26,1726,22.5287073425,113.98306897350001,0.2419300959217654
496532806,22.5271274,113.9929481,3,,,POINT (113.9929481 22.5271274),17,27,1727,22.5287073425,113.99151957250001,0.2288928978189384
267005525,22.5293131,113.9972635,3,,,POINT (113.9972635 22.5293131),17,28,1728,22.5287073425,113.99997017150001,0.2860436334786871
6003859424,22.5297494,114.0076203,3,,,POINT (114.0076203 22.5297494),17,29,1729,22.5287073425,114.00842077050001,0.1420760295474202
2323527399,22.5286821,114.0171272,3,,,POINT (114.0171272 22.5286821),17,30,1730,22.5287073425,114.01687136950001,0.026425684124842804
2323527467,22.5281967,114.0259542,3,,,POINT (114.0259542 22.5281967),17,31,1731,22.5287073425,114.02532196850001,0.08625995128372954
8198655610,22.5283878,114.0337279,3,,,POINT (114.0337279 22.5283878),17,32,1732,22.5287073425,114.03377256750001,0.03582646412539712
1116469168,22.528769,114.0425534,3,,,POINT (114.0425534 22.528769),17,33,1733,22.5287073425,114.04222316650001,0.0346040508706115
5269888957,22.5287858,114.0512348,4,,,POINT (114.0512348 22.5287858),17,34,1734,22.5287073425,114.05067376550001,0.058280153138354114
8168061659,22.5293057,114.0588382,3,,,POINT (114.0588382 22.5293057),17,35,1735,22.5287073425,114.05912436450001,0.07273711891499217
7609471530,22.5287409,114.0676614,3,,,POINT (114.0676614 22.5287409),17,36,1736,22.5287073425,114.06757496350001,0.009630137102127399
2876870757,22.5290235,114.0753713,1,,,POINT (114.0753713 22.5290235),17,37,1737,22.5287073425,114.0760255625,0.07583906200849139
5626332284,22.5297342,114.4857873,3,,,POINT (114.4857873 22.5297342),17,85,1785,22.5287073425,114.4816543145,0.4395830154264958
