osmid,y,x,street_count,ref,highway,geometry,lat_index,lon_index,grid_index
294966591,22.4806703,113.8990754,4,,,POINT (113.8990754 22.4806703),4,16,416
294966615,22.495,113.8873515,4,,,POINT (113.8873515 22.495),8,15,815
294966677,22.5055425,113.8895968,4,,,POINT (113.8895968 22.5055425),11,15,1115
294966695,22.5250085,113.9050321,3,,,POINT (113.9050321 22.5250085),16,17,1617
294966753,22.5081568,113.9384694,3,,,POINT (113.9384694 22.5081568),12,21,1221
294966805,22.5080389,113.9271741,4,,,POINT (113.9271741 22.5080389),12,19,1219
294966811,22.4848728,113.9300666,4,,,POINT (113.9300666 22.4848728),5,20,520
294966812,22.4868092,113.9247943,4,,traffic_signals,POINT (113.9247943 22.4868092),6,19,619
294986739,22.5455674,114.0854945,4,,,POINT (114.0854945 22.5455674),21,38,2138
294986741,22.5453983,114.0868836,3,,,POINT (114.0868836 22.5453983),21,38,2138
294988378,22.5454632,114.0910868,4,,traffic_signals,POINT (114.0910868 22.5454632),21,39,2139
294988379,22.5454639,114.0912601,3,,traffic_signals,POINT (114.0912601 22.5454639),21,39,2139
294988857,22.5456178,114.0841393,4,,traffic_signals,POINT (114.0841393 22.5456178),21,38,2138
295526887,22.5566535,114.0248726,3,,,POINT (114.0248726 22.5566535),24,31,2431
295526893,22.557764,114.0251788,3,,,POINT (114.0251788 22.557764),25,31,2531
295526971,22.5567015,114.0293474,4,,,POINT (114.0293474 22.5567015),24,31,2431
295526981,22.5581292,114.0272038,3,,,POINT (114.0272038 22.5581292),25,31,2531
295527326,22.5246529,113.9243538,3,,,POINT (113.9243538 22.5246529),16,19,1619
295527604,22.5210994,113.9173027,4,,,POINT (113.9173027 22.5210994),15,18,1518
295527648,22.5239989,113.9287216,3,,,POINT (113.9287216 22.5239989),16,20,1620
295527979,22.5904218,113.8806826,4,,,POINT (113.8806826 22.5904218),33,14,3314
295528238,22.5248483,113.904823,3,,,POINT (113.904823 22.5248483),16,17,1617
295556464,22.5901121,113.8726639,4,,,POINT (113.8726639 22.5901121),33,13,3313
295803575,22.5313879,114.0748683,3,,,POINT (114.0748683 22.5313879),18,37,1837
295803578,22.5306383,114.0748854,3,,,POINT (114.0748854 22.5306383),18,37,1837
295803665,22.5312788,114.0721434,3,,,POINT (114.0721434 22.5312788),18,37,1837
295803668,22.5312725,114.0718531,3,,,POINT (114.0718531 22.5312725),18,37,1837
295803669,22.5303866,114.071861,3,,,POINT (114.071861 22.5303866),17,37,1737
295803678,22.5305884,114.072176,3,,,POINT (114.072176 22.5305884),17,37,1737
296024714,22.5233992,113.9530017,3,,,POINT (113.9530017 22.5233992),16,22,1622
296024724,22.524294,113.9880582,3,,,POINT (113.9880582 22.524294),16,27,1627
296024728,22.5279893,113.9951276,3,,,POINT (113.9951276 22.5279893),17,27,1727
296024729,22.5289353,113.9967896,3,,,POINT (113.9967896 22.5289353),17,28,1728
296024760,22.5315228,114.0592761,3,,motorway_junction,POINT (114.0592761 22.5315228),18,35,1835
296024763,22.5316996,114.0703307,3,,,POINT (114.0703307 22.5316996),18,36,1836
296024764,22.5317589,114.0738513,3,,,POINT (114.0738513 22.5317589),18,37,1837
297120870,22.5129776,113.927513,4,,,POINT (113.927513 22.5129776),13,19,1319
297120986,22.4871555,113.909758,3,,,POINT (113.909758 22.4871555),6,17,617
