Grid Index,NW Lat,NW Lon,NE Lat,NE Lon,SW Lat,SW Lon,SE Lat,SE Lon
145,40.908365783,-74.00540831,40.908365783,-73.999864028,40.904224566,-74.00540831,40.904224566,-73.999864028
146,40.908365783,-73.999864028,40.908365783,-73.994319746,40.904224566,-73.999864028,40.904224566,-73.994319746
147,40.908365783,-73.994319746,40.908365783,-73.988775464,40.904224566,-73.994319746,40.904224566,-73.988775464
148,40.908365783,-73.988775464,40.908365783,-73.983231182,40.904224566,-73.988775464,40.904224566,-73.983231182
149,40.908365783,-73.983231182,40.908365783,-73.9776869,40.904224566,-73.983231182,40.904224566,-73.9776869
150,40.908365783,-73.97768690000001,40.908365783,-73.972142618,40.904224566,-73.97768690000001,40.904224566,-73.972142618
151,40.908365783,-73.972142618,40.908365783,-73.966598336,40.904224566,-73.972142618,40.904224566,-73.966598336
152,40.908365783,-73.966598336,40.908365783,-73.961054054,40.904224566,-73.966598336,40.904224566,-73.961054054
153,40.908365783,-73.961054054,40.908365783,-73.955509772,40.904224566,-73.961054054,40.904224566,-73.955509772
154,40.908365783,-73.955509772,40.908365783,-73.94996549,40.904224566,-73.955509772,40.904224566,-73.94996549
155,40.908365783,-73.94996549,40.908365783,-73.944421208,40.904224566,-73.94996549,40.904224566,-73.944421208
156,40.908365783,-73.94442120800001,40.908365783,-73.938876926,40.904224566,-73.94442120800001,40.904224566,-73.938876926
157,40.908365783,-73.938876926,40.908365783,-73.933332644,40.904224566,-73.938876926,40.904224566,-73.933332644
158,40.908365783,-73.933332644,40.908365783,-73.927788362,40.904224566,-73.933332644,40.904224566,-73.927788362
159,40.908365783,-73.927788362,40.908365783,-73.92224408,40.904224566,-73.927788362,40.904224566,-73.92224408
160,40.908365783,-73.92224408,40.908365783,-73.916699798,40.904224566,-73.92224408,40.904224566,-73.916699798
161,40.908365783,-73.916699798,40.908365783,-73.911155516,40.904224566,-73.916699798,40.904224566,-73.911155516
162,40.908365783,-73.91115551600001,40.908365783,-73.905611234,40.904224566,-73.91115551600001,40.904224566,-73.905611234
163,40.908365783,-73.905611234,40.908365783,-73.900066952,40.904224566,-73.905611234,40.904224566,-73.900066952
164,40.908365783,-73.900066952,40.908365783,-73.89452267,40.904224566,-73.900066952,40.904224566,-73.89452267
165,40.908365783,-73.89452267,40.908365783,-73.888978388,40.904224566,-73.89452267,40.904224566,-73.888978388
166,40.908365783,-73.888978388,40.908365783,-73.883434106,40.904224566,-73.888978388,40.904224566,-73.883434106
167,40.908365783,-73.883434106,40.908365783,-73.877889824,40.904224566,-73.883434106,40.904224566,-73.877889824
168,40.908365783,-73.87788982400001,40.908365783,-73.872345542,40.904224566,-73.87788982400001,40.904224566,-73.872345542
169,40.908365783,-73.872345542,40.908365783,-73.86680126,40.904224566,-73.872345542,40.904224566,-73.86680126
170,40.908365783,-73.86680126,40.908365783,-73.861256978,40.904224566,-73.86680126,40.904224566,-73.861256978
171,40.908365783,-73.861256978,40.908365783,-73.855712696,40.904224566,-73.861256978,40.904224566,-73.855712696
172,40.908365783,-73.855712696,40.908365783,-73.850168414,40.904224566,-73.855712696,40.904224566,-73.850168414
173,40.908365783,-73.850168414,40.908365783,-73.84462413199999,40.904224566,-73.850168414,40.904224566,-73.84462413199999
174,40.908365783,-73.844624132,40.908365783,-73.83907985,40.904224566,-73.844624132,40.904224566,-73.83907985
175,40.908365783,-73.83907985,40.908365783,-73.833535568,40.904224566,-73.83907985,40.904224566,-73.833535568
176,40.908365783,-73.833535568,40.908365783,-73.827991286,40.904224566,-73.833535568,40.904224566,-73.827991286
