osmid,y,x,ref,highway,street_count,geometry,lat_index,lon_index,grid_index,lat_center,lon_center,distance_to_center
42835892,40.770485,-73.786685,,,4,POINT (-73.786685 40.770485),65,84,6584,40.7696350135,-73.786409171,0.09732664682812663
42807585,40.769671,-73.780277,,,3,POINT (-73.780277 40.769671),65,85,6585,40.7696350135,-73.780864889,0.0496690419210274
42914589,40.769481,-73.774922,,,4,POINT (-73.774922 40.769481),65,86,6586,40.7696350135,-73.77532060700001,0.037683896953891995
42819915,40.769738,-73.770169,,,3,POINT (-73.770169 40.769738),65,87,6587,40.7696350135,-73.76977632500001,0.03499484412757375
42859425,40.769594,-73.763992,,,3,POINT (-73.763992 40.769594),65,88,6588,40.7696350135,-73.764232043,0.0207226758610045
844287099,40.7692795,-73.7610432,,,1,POINT (-73.7610432 40.7692795),65,89,6589,40.7696350135,-73.758687761,0.2022587412506485
42893047,40.769463,-73.753082,,,3,POINT (-73.753082 40.769463),65,90,6590,40.7696350135,-73.753143479,0.019815340771315002
42806231,40.768609,-73.747729,,,4,POINT (-73.747729 40.768609),65,91,6591,40.7696350135,-73.747599197,0.11460997381877215
42812825,40.77035,-73.742271,,,3,POINT (-73.742271 40.77035),65,92,6592,40.7696350135,-73.74205491500001,0.08155878832658406
7761265836,40.7696909,-73.7362926,,traffic_signals,3,POINT (-73.7362926 40.7696909),65,93,6593,40.7696350135,-73.73651063300001,0.019384203711559102
42828862,40.7700416,-73.7313535,,,3,POINT (-73.7313535 40.7700416),65,94,6594,40.7696350135,-73.730966351,0.05573967605713456
42838256,40.7680071,-73.7277175,,,3,POINT (-73.7277175 40.7680071),65,95,6595,40.7696350135,-73.725422069,0.26482832250028165
595254571,40.7744841,-73.9914364,,,3,POINT (-73.9914364 40.7744841),66,47,6647,40.7737762305,-73.99154760500001,0.0792665651944343
42442410,40.7735306,-73.9853181,,traffic_signals,3,POINT (-73.9853181 40.7735306),66,48,6648,40.7737762305,-73.986003323,0.06383871288150972
4557495130,40.774231,-73.9811332,,traffic_signals,4,POINT (-73.9811332 40.774231),66,49,6649,40.7737762305,-73.980459041,0.07602522667619674
7802856356,40.7749199,-73.9769198,,traffic_signals,3,POINT (-73.9769198 40.7749199),66,50,6650,40.7737762305,-73.97491475900001,0.21137262959935066
42436475,40.7724555,-73.9670325,,traffic_signals,3,POINT (-73.9670325 40.7724555),66,51,6651,40.7737762305,-73.96937047700001,0.24561721660679303
42430052,40.7737351,-73.9640105,,traffic_signals,4,POINT (-73.9640105 40.7737351),66,52,6652,40.7737762305,-73.96382619500001,0.01617967351470102
42436919,40.7736031,-73.9578018,,traffic_signals,4,POINT (-73.9578018 40.7736031),66,53,6653,40.7737762305,-73.95828191300001,0.044778545301869165
42452956,40.7736593,-73.9517225,,traffic_signals,4,POINT (-73.9517225 40.7736593),66,54,6654,40.7737762305,-73.952737631,0.08646465087330683
42428029,40.7739755,-73.9485489,,traffic_signals,4,POINT (-73.9485489 40.7739755),66,55,6655,40.7737762305,-73.947193349,0.11627775827722452
42451773,40.7756198,-73.9442812,,traffic_signals,3,POINT (-73.9442812 40.7756198),66,56,6656,40.7737762305,-73.94164906700001,0.3019075915319408
42941801,40.7736096,-73.9360143,,turning_circle,1,POINT (-73.9360143 40.7736096),66,57,6657,40.7737762305,-73.93610478500001,0.020033993297571523
42811439,40.7739765,-73.9310519,,,3,POINT (-73.9310519 40.7739765),66,58,6658,40.7737762305,-73.93056050300001,0.046990835948879164
42826023,40.7734857,-73.9249433,,traffic_signals,3,POINT (-73.9249433 40.7734857),66,59,6659,40.7737762305,-73.925016221,0.03288391849575443
42897257,40.7729598,-73.9202731,,,4,POINT (-73.9202731 40.7729598),66,60,6660,40.7737762305,-73.919471939,0.11310583255036047
42849673,40.773449,-73.913974,,,4,POINT (-73.913974 40.773449),66,61,6661,40.7737762305,-73.913927657,0.03659504008680624
42874622,40.7743639,-73.908192,,traffic_signals,4,POINT (-73.908192 40.7743639),66,62,6662,40.7737762305,-73.90838337500001,0.06730362935230613
42908922,40.7736671,-73.902381,,stop,4,POINT (-73.902381 40.7736671),66,63,6663,40.7737762305,-73.90283909300001,0.04043842798884751
42904429,40.7734249,-73.8973655,,,4,POINT (-73.8973655 40.7734249),66,64,6664,40.7737762305,-73.89729481100001,0.03951706384812657
2087152420,40.773459,-73.8913561,,,3,POINT (-73.8913561 40.773459),66,65,6665,40.7737762305,-73.891750529,0.048450444199100655
6358261970,40.7738359,-73.8861701,,,3,POINT (-73.8861701 40.7738359),66,66,6666,40.7737762305,-73.886206247,0.0072998257290257705
