osmid,y,x,ref,highway,street_count,geometry,lat_index,lon_index,grid_index
4597668040,40.7395407,-73.9869016,,traffic_signals,4,POINT (-73.9869016 40.7395407),58,48,5848
4597668041,40.7402148,-73.98641,,traffic_signals,4,POINT (-73.98641 40.7402148),58,48,5848
4597668042,40.7414834,-73.985486,,traffic_signals,4,POINT (-73.985486 40.7414834),58,48,5848
4597668043,40.7439728,-73.9836755,,traffic_signals,4,POINT (-73.9836755 40.7439728),59,48,5948
4597668044,40.7452064,-73.9827891,,traffic_signals,4,POINT (-73.9827891 40.7452064),59,49,5949
4599069459,40.6021536,-74.064581,,,3,POINT (-74.064581 40.6021536),25,34,2534
4599069462,40.6017552,-74.0629584,,motorway_junction,3,POINT (-74.0629584 40.6017552),24,34,2434
4600334587,40.6069739,-74.0764261,,,3,POINT (-74.0764261 40.6069739),26,32,2632
4600357192,40.5991349,-74.0725772,,,3,POINT (-74.0725772 40.5991349),24,32,2432
4600357197,40.5985344,-74.0724879,,,3,POINT (-74.0724879 40.5985344),24,32,2432
4600357198,40.5986213,-74.0724247,,,3,POINT (-74.0724247 40.5986213),24,32,2432
4600357204,40.5984836,-74.0719441,,,3,POINT (-74.0719441 40.5984836),24,32,2432
4600646725,40.8414716,-73.8560637,,turning_circle,1,POINT (-73.8560637 40.8414716),82,71,8271
4602414021,40.7237608,-74.0061172,,,3,POINT (-74.0061172 40.7237608),54,44,5444
4606046834,40.8381707,-73.9144222,,,4,POINT (-73.9144222 40.8381707),82,61,8261
4606046844,40.8477806,-73.9073432,,traffic_signals,5,POINT (-73.9073432 40.8477806),84,62,8462
4611283666,40.7721702,-73.7451928,,,1,POINT (-73.7451928 40.7721702),66,91,6691
4612019744,40.898113,-73.9025075,,,1,POINT (-73.9025075 40.898113),96,63,9663
4616536348,40.7244231,-74.006055,,traffic_signals,4,POINT (-74.006055 40.7244231),54,44,5444
4616536351,40.7256907,-74.0058541,,traffic_signals,4,POINT (-74.0058541 40.7256907),54,44,5444
4616536352,40.7250366,-74.0059578,,traffic_signals,3,POINT (-74.0059578 40.7250366),54,44,5444
4617095069,40.827105,-73.8428871,,,1,POINT (-73.8428871 40.827105),79,74,7974
4621179666,40.5378606,-74.2414843,,turning_circle,1,POINT (-74.2414843 40.5378606),9,2,902
4625476383,40.8674133,-73.8310541,,,3,POINT (-73.8310541 40.8674133),89,76,8976
