Grid Index,NW Lat,NW Lon,NE Lat,NE Lon,SW Lat,SW Lon,SE Lat,SE Lon
2387,51.595161837,0.20741463399999993,51.595161837,0.21565881599999992,51.591230056,0.20741463399999993,51.591230056,0.21565881599999992
2388,51.595161837,0.21565881599999992,51.595161837,0.2239029979999999,51.591230056,0.21565881599999992,51.591230056,0.2239029979999999
2389,51.595161837,0.2239029979999999,51.595161837,0.2321471799999999,51.591230056,0.2239029979999999,51.591230056,0.2321471799999999
2390,51.595161837,0.2321471799999999,51.595161837,0.2403913619999999,51.591230056,0.2321471799999999,51.591230056,0.2403913619999999
2391,51.595161837,0.240391362,51.595161837,0.24863554399999999,51.591230056,0.240391362,51.591230056,0.24863554399999999
2392,51.595161837,0.24863554399999999,51.595161837,0.256879726,51.591230056,0.24863554399999999,51.591230056,0.256879726
2393,51.595161837,0.256879726,51.595161837,0.26512390799999996,51.591230056,0.256879726,51.591230056,0.26512390799999996
2394,51.595161837,0.26512390799999996,51.595161837,0.27336808999999995,51.591230056,0.26512390799999996,51.591230056,0.27336808999999995
2395,51.595161837,0.27336808999999995,51.595161837,0.28161227199999994,51.591230056,0.27336808999999995,51.591230056,0.28161227199999994
2396,51.595161837,0.28161227199999994,51.595161837,0.28985645399999993,51.591230056,0.28161227199999994,51.591230056,0.28985645399999993
2397,51.595161837,0.28985645399999993,51.595161837,0.2981006359999999,51.591230056,0.28985645399999993,51.591230056,0.2981006359999999
2398,51.595161837,0.2981006359999999,51.595161837,0.3063448179999999,51.591230056,0.2981006359999999,51.591230056,0.3063448179999999
2399,51.595161837,0.3063448179999999,51.595161837,0.3145889999999999,51.591230056,0.3063448179999999,51.591230056,0.3145889999999999
2400,51.591230056,-0.5098292,51.591230056,-0.501585018,51.587298275,-0.5098292,51.587298275,-0.501585018
2401,51.591230056,-0.501585018,51.591230056,-0.493340836,51.587298275,-0.501585018,51.587298275,-0.493340836
2402,51.591230056,-0.493340836,51.591230056,-0.485096654,51.587298275,-0.493340836,51.587298275,-0.485096654
2403,51.591230056,-0.48509665399999996,51.591230056,-0.47685247199999997,51.587298275,-0.48509665399999996,51.587298275,-0.47685247199999997
2404,51.591230056,-0.47685247199999997,51.591230056,-0.46860829,51.587298275,-0.47685247199999997,51.587298275,-0.46860829
2405,51.591230056,-0.46860829,51.591230056,-0.460364108,51.587298275,-0.46860829,51.587298275,-0.460364108
2406,51.591230056,-0.460364108,51.591230056,-0.452119926,51.587298275,-0.460364108,51.587298275,-0.452119926
2407,51.591230056,-0.452119926,51.591230056,-0.443875744,51.587298275,-0.452119926,51.587298275,-0.443875744
2408,51.591230056,-0.44387574399999996,51.591230056,-0.43563156199999997,51.587298275,-0.44387574399999996,51.587298275,-0.43563156199999997
2409,51.591230056,-0.43563156199999997,51.591230056,-0.42738738,51.587298275,-0.43563156199999997,51.587298275,-0.42738738
2410,51.591230056,-0.42738738,51.591230056,-0.419143198,51.587298275,-0.42738738,51.587298275,-0.419143198
2411,51.591230056,-0.419143198,51.591230056,-0.410899016,51.587298275,-0.419143198,51.587298275,-0.410899016
2412,51.591230056,-0.410899016,51.591230056,-0.402654834,51.587298275,-0.410899016,51.587298275,-0.402654834
2413,51.591230056,-0.402654834,51.591230056,-0.39441065200000003,51.587298275,-0.402654834,51.587298275,-0.39441065200000003
2414,51.591230056,-0.39441065200000003,51.591230056,-0.38616647000000004,51.587298275,-0.39441065200000003,51.587298275,-0.38616647000000004
2415,51.591230056,-0.38616647,51.591230056,-0.377922288,51.587298275,-0.38616647,51.587298275,-0.377922288
2416,51.591230056,-0.377922288,51.591230056,-0.369678106,51.587298275,-0.377922288,51.587298275,-0.369678106
2417,51.591230056,-0.369678106,51.591230056,-0.361433924,51.587298275,-0.369678106,51.587298275,-0.361433924
2418,51.591230056,-0.36143392399999996,51.591230056,-0.353189742,51.587298275,-0.36143392399999996,51.587298275,-0.353189742
2419,51.591230056,-0.353189742,51.591230056,-0.34494556,51.587298275,-0.353189742,51.587298275,-0.34494556
2420,51.591230056,-0.34494556,51.591230056,-0.336701378,51.587298275,-0.34494556,51.587298275,-0.336701378
2421,51.591230056,-0.336701378,51.591230056,-0.328457196,51.587298275,-0.336701378,51.587298275,-0.328457196
2422,51.591230056,-0.328457196,51.591230056,-0.320213014,51.587298275,-0.328457196,51.587298275,-0.320213014
2423,51.591230056,-0.320213014,51.591230056,-0.31196883200000003,51.587298275,-0.320213014,51.587298275,-0.31196883200000003
2424,51.591230056,-0.31196883200000003,51.591230056,-0.30372465000000004,51.587298275,-0.31196883200000003,51.587298275,-0.30372465000000004
2425,51.591230056,-0.30372465000000004,51.591230056,-0.29548046800000005,51.587298275,-0.30372465000000004,51.587298275,-0.29548046800000005
2426,51.591230056,-0.295480468,51.591230056,-0.287236286,51.587298275,-0.295480468,51.587298275,-0.287236286
2427,51.591230056,-0.287236286,51.591230056,-0.278992104,51.587298275,-0.287236286,51.587298275,-0.278992104
2428,51.591230056,-0.278992104,51.591230056,-0.27074792200000003,51.587298275,-0.278992104,51.587298275,-0.27074792200000003
2429,51.591230056,-0.270747922,51.591230056,-0.26250374,51.587298275,-0.270747922,51.587298275,-0.26250374
2430,51.591230056,-0.26250374,51.591230056,-0.254259558,51.587298275,-0.26250374,51.587298275,-0.254259558
2431,51.591230056,-0.254259558,51.591230056,-0.246015376,51.587298275,-0.254259558,51.587298275,-0.246015376
2432,51.591230056,-0.246015376,51.591230056,-0.23777119400000002,51.587298275,-0.246015376,51.587298275,-0.23777119400000002
2433,51.591230056,-0.23777119400000002,51.591230056,-0.22952701200000003,51.587298275,-0.23777119400000002,51.587298275,-0.22952701200000003
2434,51.591230056,-0.22952701200000003,51.591230056,-0.22128283000000004,51.587298275,-0.22952701200000003,51.587298275,-0.22128283000000004
2435,51.591230056,-0.22128282999999999,51.591230056,-0.213038648,51.587298275,-0.22128282999999999,51.587298275,-0.213038648
2436,51.591230056,-0.213038648,51.591230056,-0.204794466,51.587298275,-0.213038648,51.587298275,-0.204794466
2437,51.591230056,-0.204794466,51.591230056,-0.19655028400000002,51.587298275,-0.204794466,51.587298275,-0.19655028400000002
2438,51.591230056,-0.19655028400000002,51.591230056,-0.18830610200000003,51.587298275,-0.19655028400000002,51.587298275,-0.18830610200000003
2439,51.591230056,-0.18830610200000003,51.591230056,-0.18006192000000004,51.587298275,-0.18830610200000003,51.587298275,-0.18006192000000004
2440,51.591230056,-0.18006192,51.591230056,-0.171817738,51.587298275,-0.18006192,51.587298275,-0.171817738
2441,51.591230056,-0.171817738,51.591230056,-0.163573556,51.587298275,-0.171817738,51.587298275,-0.163573556
2442,51.591230056,-0.163573556,51.591230056,-0.15532937400000002,51.587298275,-0.163573556,51.587298275,-0.15532937400000002
2443,51.591230056,-0.15532937400000002,51.591230056,-0.14708519200000003,51.587298275,-0.15532937400000002,51.587298275,-0.14708519200000003
2444,51.591230056,-0.14708519200000003,51.591230056,-0.13884101000000004,51.587298275,-0.14708519200000003,51.587298275,-0.13884101000000004
2445,51.591230056,-0.13884101000000004,51.591230056,-0.13059682800000005,51.587298275,-0.13884101000000004,51.587298275,-0.13059682800000005
2446,51.591230056,-0.130596828,51.591230056,-0.122352646,51.587298275,-0.130596828,51.587298275,-0.122352646
2447,51.591230056,-0.12235264600000001,51.591230056,-0.114108464,51.587298275,-0.12235264600000001,51.587298275,-0.114108464
2448,51.591230056,-0.11410846400000002,51.591230056,-0.10586428200000002,51.587298275,-0.11410846400000002,51.587298275,-0.10586428200000002
2449,51.591230056,-0.10586428200000003,51.591230056,-0.09762010000000003,51.587298275,-0.10586428200000003,51.587298275,-0.09762010000000003
2450,51.591230056,-0.09762010000000004,51.591230056,-0.08937591800000004,51.587298275,-0.09762010000000004,51.587298275,-0.08937591800000004
2451,51.591230056,-0.089375918,51.591230056,-0.081131736,51.587298275,-0.089375918,51.587298275,-0.081131736
2452,51.591230056,-0.08113173600000001,51.591230056,-0.07288755400000001,51.587298275,-0.08113173600000001,51.587298275,-0.07288755400000001
2453,51.591230056,-0.07288755400000002,51.591230056,-0.06464337200000002,51.587298275,-0.07288755400000002,51.587298275,-0.06464337200000002
2454,51.591230056,-0.06464337200000003,51.591230056,-0.05639919000000003,51.587298275,-0.06464337200000003,51.587298275,-0.05639919000000003
2455,51.591230056,-0.05639919000000004,51.591230056,-0.04815500800000004,51.587298275,-0.05639919000000004,51.587298275,-0.04815500800000004
2456,51.591230056,-0.048155008000000055,51.591230056,-0.03991082600000005,51.587298275,-0.048155008000000055,51.587298275,-0.03991082600000005
2457,51.591230056,-0.03991082600000001,51.591230056,-0.03166664400000001,51.587298275,-0.03991082600000001,51.587298275,-0.03166664400000001
2458,51.591230056,-0.03166664400000002,51.591230056,-0.023422462000000022,51.587298275,-0.03166664400000002,51.587298275,-0.023422462000000022
2459,51.591230056,-0.023422462000000033,51.591230056,-0.015178280000000034,51.587298275,-0.023422462000000033,51.587298275,-0.015178280000000034
2460,51.591230056,-0.015178280000000044,51.591230056,-0.006934098000000045,51.587298275,-0.015178280000000044,51.587298275,-0.006934098000000045
2461,51.591230056,-0.006934098,51.591230056,0.0013100839999999996,51.587298275,-0.006934098,51.587298275,0.0013100839999999996
2462,51.591230056,0.0013100839999999891,51.591230056,0.009554265999999988,51.587298275,0.0013100839999999891,51.587298275,0.009554265999999988
2463,51.591230056,0.009554265999999978,51.591230056,0.017798447999999977,51.587298275,0.009554265999999978,51.587298275,0.017798447999999977
2464,51.591230056,0.017798447999999967,51.591230056,0.026042629999999966,51.587298275,0.017798447999999967,51.587298275,0.026042629999999966
2465,51.591230056,0.026042629999999956,51.591230056,0.03428681199999996,51.587298275,0.026042629999999956,51.587298275,0.03428681199999996
2466,51.591230056,0.034286811999999944,51.591230056,0.04253099399999995,51.587298275,0.034286811999999944,51.587298275,0.04253099399999995
2467,51.591230056,0.04253099399999993,51.591230056,0.050775175999999936,51.587298275,0.04253099399999993,51.587298275,0.050775175999999936
2468,51.591230056,0.05077517599999992,51.591230056,0.059019357999999925,51.587298275,0.05077517599999992,51.587298275,0.059019357999999925
2469,51.591230056,0.05901935799999991,51.591230056,0.06726353999999991,51.587298275,0.05901935799999991,51.587298275,0.06726353999999991
2470,51.591230056,0.06726354000000001,51.591230056,0.07550772200000001,51.587298275,0.06726354000000001,51.587298275,0.07550772200000001
2471,51.591230056,0.075507722,51.591230056,0.083751904,51.587298275,0.075507722,51.587298275,0.083751904
2472,51.591230056,0.08375190399999999,51.591230056,0.09199608599999999,51.587298275,0.08375190399999999,51.587298275,0.09199608599999999
2473,51.591230056,0.09199608599999998,51.591230056,0.10024026799999998,51.587298275,0.09199608599999998,51.587298275,0.10024026799999998
2474,51.591230056,0.10024026799999997,51.591230056,0.10848444999999997,51.587298275,0.10024026799999997,51.587298275,0.10848444999999997
2475,51.591230056,0.10848444999999995,51.591230056,0.11672863199999996,51.587298275,0.10848444999999995,51.587298275,0.11672863199999996
